MaDotBiTich;NgayBiTich;MoTa;LinhMuc;LoaiBiTich;NoiBiTich;UpdateDate;MaGiaoXuRieng;DeleteClient
73;20/04/1955;Đợt bí tích ngày 20 tháng 04 năm 1955;;0;Ngọc Đồng;2014-09-16 08:34:24;;0
74;05/02/1955;Đợt bí tích ngày 05 tháng 02 năm 1955;Giuse Phạm Đức Sự`;0;Ngọc Đồng;2014-09-16 08:34:24;;0
75;06/08/1955;Đợt bí tích ngày 06 tháng 08 năm 1955;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
76;25/08/1955;Đợt bí tích ngày 25 tháng 08 năm 1955;Đam. Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
77;03/04/1955;Đợt bí tích ngày 03 tháng 04 năm 1955;Đam. Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
78;1955;Đợt bí tích năm 1955;;0;;2014-09-16 08:34:24;;0
79;01/10/1955;Đợt bí tích ngày 01 tháng 10 năm 1955;Giuse Trần Minh Trí;0;Thái Bình;2014-09-16 08:34:24;;0
80;25/02/1955;Đợt bí tích ngày 25 tháng 02 năm 1955;Phêro Trần Gia Vĩnh;0;Cao Mộc;2014-09-16 08:34:24;;0
81;03/03/1955;Đợt bí tích ngày 03 tháng 03 năm 1955;;0;Văn Côi;2014-09-16 08:34:24;;0
82;20/08/1955;Đợt bí tích ngày 20 tháng 08 năm 1955;Đaminh Cao Đại Minh;0;Văn Côi;2014-09-16 08:34:24;;0
83;12/08/1955;Đợt bí tích ngày 12 tháng 08 năm 1955;;0;;2014-09-16 08:34:24;;0
84;29/11/1956;Đợt bí tích ngày 29 tháng 11 năm 1956;;0;Gx Lai Ổn;2014-09-16 08:34:24;;0
85;18/01/1956;Đợt bí tích ngày 18 tháng 01 năm 1956;;0;Thừa Thiên, Huế;2014-09-16 08:34:24;;0
86;12/09/1956;Đợt bí tích ngày 12 tháng 09 năm 1956;Đam Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
87;1956;Đợt bí tích năm 1956;;0;;2014-09-16 08:34:24;;0
88;23/12/1956;Đợt bí tích ngày 23 tháng 12 năm 1956;;0;Bùi Vĩnh;2014-09-16 08:34:24;;0
89;20/10/1956;Đợt bí tích ngày 20 tháng 10 năm 1956;;0;Sa Đéc;2014-09-16 08:34:24;;0
90;22/03/1956;Đợt bí tích ngày 22 tháng 03 năm 1956;;0;Tân Hiệp;2014-09-16 08:34:24;;0
91;14/05/1956;Đợt bí tích ngày 14 tháng 05 năm 1956;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
92;1956;Đợt bí tích năm 1956;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
93;10/10/1956;Đợt bí tích ngày 10 tháng 10 năm 1956;Vượng;0;Lạc An;2014-09-16 08:34:24;;0
94;26/02/1956;Đợt bí tích ngày 26 tháng 02 năm 1956;Hieronimo Phạm Quang Tự;0;Thánh Tâm;2014-09-16 08:34:24;;0
95;29/08/1956;Đợt bí tích ngày 29 tháng 08 năm 1956;;0;;2014-09-16 08:34:24;;0
96;03/10/1956;Đợt bí tích ngày 03 tháng 10 năm 1956;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
97;30/07/1956;Đợt bí tích ngày 30 tháng 07 năm 1956;Giuse Phạm Đức Sự;0;Ngọc Đồng;2014-09-16 08:34:24;;0
98;18/06/1956;Đợt bí tích ngày 18 tháng 06 năm 1956;Phaolo Maria Tạ Đức Kiểm;0;Thánh Tâm;2014-09-16 08:34:24;;0
99;10/04/1957;Đợt bí tích ngày 10 tháng 04 năm 1957;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
100;05/12/1957;Đợt bí tích ngày 05 tháng 12 năm 1957;Lm Nguyễn Ngọc Trợ;0;Nhà Thờ Tuyên Úy Sư Đoàn 2;2014-09-16 08:34:24;;0
101;29/05/1957;Đợt bí tích ngày 29 tháng 05 năm 1957;Lm Phaolô Trần Hữu Lý;0;Gx Bạch Đằng;2014-09-16 08:34:24;;0
102;05/04/1957;Đợt bí tích ngày 05 tháng 04 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
103;1957;Đợt bí tích năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
104;30/09/1957;Đợt bí tích ngày 30 tháng 09 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
105;27/10/1957;Đợt bí tích ngày 27 tháng 10 năm 1957;Phero Thiện;0;Tiểu Đoàn;2014-09-16 08:34:24;;0
106;27/10/1957;Đợt bí tích ngày 27 tháng 10 năm 1957;Gioan Vũ Xuân Lai;0;Gò Vấp;2014-09-16 08:34:24;;0
107;08/03/1957;Đợt bí tích ngày 08 tháng 03 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
108;04/12/1957;Đợt bí tích ngày 04 tháng 12 năm 1957;;0;Mỹ Tho;2014-09-16 08:34:24;;0
109;25/02/1957;Đợt bí tích ngày 25 tháng 02 năm 1957;;0;Ngọc Đồng;2014-09-16 08:34:24;;0
110;18/10/1957;Đợt bí tích ngày 18 tháng 10 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
111;09/03/1957;Đợt bí tích ngày 09 tháng 03 năm 1957;Phacques Trần Mạnh Thắng;0;Gia Định;2014-09-16 08:34:24;;0
112;08/07/1957;Đợt bí tích ngày 08 tháng 07 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
113;22/04/1957;Đợt bí tích ngày 22 tháng 04 năm 1957;Đoàn Quang Hàm;0;La Vang;2014-09-16 08:34:24;;0
114;06/05/1957;Đợt bí tích ngày 06 tháng 05 năm 1957;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
115;28/07/1957;Đợt bí tích ngày 28 tháng 07 năm 1957;G B Trần Chấn Chỉnh;0;Thái Xuân;2014-09-16 08:34:24;;0
116;09/06/1957;Đợt bí tích ngày 09 tháng 06 năm 1957;Phero Trần Gia Vĩnh;0;Cao Thái;2014-09-16 08:34:24;;0
117;09/06/1957;Đợt bí tích ngày 09 tháng 06 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
118;1957;Đợt bí tích năm 1957;;0;Phương Xá;2014-09-16 08:34:24;;0
119;01/05/1958;Đợt bí tích ngày 01 tháng 05 năm 1958;;0;Gx Ngọc Đồng;2014-09-16 08:34:24;;0
120;29/12/1958;Đợt bí tích ngày 29 tháng 12 năm 1958;Lm Đặng Văn Huy;0;Nhà Thờ Sư Đoàn K C 14;2014-09-16 08:34:24;;0
121;20/09/1958;Đợt bí tích ngày 20 tháng 09 năm 1958;Giuse Nguyễn Văn Lâm;0;Phương Lâm;2014-09-16 08:34:24;;0
122;11/09/1958;Đợt bí tích ngày 11 tháng 09 năm 1958;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
123;26/11/1958;Đợt bí tích ngày 26 tháng 11 năm 1958;;0;Hạ Lễ;2014-09-16 08:34:24;;0
124;1958;Đợt bí tích năm 1958;Thuấn;0;Thái Bình;2014-09-16 08:34:24;;0
125;1958;Đợt bí tích năm 1958;;0;Ngũ Phúc;2014-09-16 08:34:24;;0
126;05/06/1958;Đợt bí tích ngày 05 tháng 06 năm 1958;P.m. Đính;0;Phước Lễ;2014-09-16 08:34:24;;0
127;17/04/1958;Đợt bí tích ngày 17 tháng 04 năm 1958;Giuse Đỗ Đức Huấn;0;Vĩnh Phúc Yên;2014-09-16 08:34:24;;0
128;27/11/1958;Đợt bí tích ngày 27 tháng 11 năm 1958;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
129;23/11/1958;Đợt bí tích ngày 23 tháng 11 năm 1958;Bartolomeo Nguyễn Đăng Quang;0;Nam Hưng;2014-09-16 08:34:24;;0
130;1958;Đợt bí tích năm 1958;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
131;25/11/1958;Đợt bí tích ngày 25 tháng 11 năm 1958;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
132;25/06/1959;Đợt bí tích ngày 25 tháng 06 năm 1959;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
133;1959;Đợt bí tích năm 1959;;0;Tân Lương, Mỹ Chánh, Quảng Trị;2014-09-16 08:34:24;;0
134;09/11/1959;Đợt bí tích ngày 09 tháng 11 năm 1959;;0;Ngũ Phúc;2014-09-16 08:34:24;;0
135;24/12/1959;Đợt bí tích ngày 24 tháng 12 năm 1959;;0;;2014-09-16 08:34:24;;0
136;02/07/1959;Đợt bí tích ngày 02 tháng 07 năm 1959;;0;Quảng Ngãi;2014-09-16 08:34:24;;0
137;20/06/1959;Đợt bí tích ngày 20 tháng 06 năm 1959;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
138;15/11/1959;Đợt bí tích ngày 15 tháng 11 năm 1959;Luyến;0;Đan Chàng;2014-09-16 08:34:24;;0
139;17/12/1959;Đợt bí tích ngày 17 tháng 12 năm 1959;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
140;12/10/1959;Đợt bí tích ngày 12 tháng 10 năm 1959;;0;Ngũ Phúc;2014-09-16 08:34:24;;0
141;11/01/1959;Đợt bí tích ngày 11 tháng 01 năm 1959;Giuse Lại Hữu Chí;0;Nam Thái;2014-09-16 08:34:24;;0
142;13/09/1959;Đợt bí tích ngày 13 tháng 09 năm 1959;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
143;25/10/1959;Đợt bí tích ngày 25 tháng 10 năm 1959;;0;;2014-09-16 08:34:24;;0
144;09/07/1959;Đợt bí tích ngày 09 tháng 07 năm 1959;;0;Bình Lộc;2014-09-16 08:34:24;;0
145;26/05/1959;Đợt bí tích ngày 26 tháng 05 năm 1959;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
146;12/03/1959;Đợt bí tích ngày 12 tháng 03 năm 1959;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
147;20/11/1960;Đợt bí tích ngày 20 tháng 11 năm 1960;;0;Kiến Điền, Gp Phú Cường;2014-09-16 08:34:24;;0
148;05/08/1960;Đợt bí tích ngày 05 tháng 08 năm 1960;Lm Giuse Hoàng Trung;0;Gx Bình Thái, Tgp Sài Gòn;2014-09-16 08:34:24;;0
149;27/11/1960;Đợt bí tích ngày 27 tháng 11 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
150;16/07/1960;Đợt bí tích ngày 16 tháng 07 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
151;13/10/1960;Đợt bí tích ngày 13 tháng 10 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
152;30/11/1960;Đợt bí tích ngày 30 tháng 11 năm 1960;;0;Xuân Trà;2014-09-16 08:34:24;;0
153;25/10/1960;Đợt bí tích ngày 25 tháng 10 năm 1960;Trần Khắc Thiện;0;Long Điền;2014-09-16 08:34:24;;0
154;20/09/1960;Đợt bí tích ngày 20 tháng 09 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
155;08/08/1960;Đợt bí tích ngày 08 tháng 08 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
156;20/01/1960;Đợt bí tích ngày 20 tháng 01 năm 1960;;0;Ngũ Phúc;2014-09-16 08:34:24;;0
157;19/05/1960;Đợt bí tích ngày 19 tháng 05 năm 1960;;0;;2014-09-16 08:34:24;;0
158;25/09/1960;Đợt bí tích ngày 25 tháng 09 năm 1960;Giuse Nguyễn Tiến Biền;0;Đông Hải 2;2014-09-16 08:34:24;;0
159;14/03/1960;Đợt bí tích ngày 14 tháng 03 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
160;02/10/1960;Đợt bí tích ngày 02 tháng 10 năm 1960;Giuse Hoàng;0;Sài Gòn;2014-09-16 08:34:24;;0
161;16/08/1960;Đợt bí tích ngày 16 tháng 08 năm 1960;;0;Gx Ngũ Phúc;2014-09-16 08:34:24;;0
162;07/09/1960;Đợt bí tích ngày 07 tháng 09 năm 1960;;0;Thùy Giang;2014-09-16 08:34:24;;0
163;21/12/1960;Đợt bí tích ngày 21 tháng 12 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
164;25/04/1960;Đợt bí tích ngày 25 tháng 04 năm 1960;Đaminh Ngô Đức Tuấn;0;Lực Điền;2014-09-16 08:34:24;;0
165;28/04/1960;Đợt bí tích ngày 28 tháng 04 năm 1960;;0;Phúc Hải;2014-09-16 08:34:24;;0
166;25/09/1960;Đợt bí tích ngày 25 tháng 09 năm 1960;Micae Nguyễn Văn Ngữ;0;Rạch Giá;2014-09-16 08:34:24;;0
167;20/03/1960;Đợt bí tích ngày 20 tháng 03 năm 1960;Đaminh Đinh Viết Tiên;0;Huế;2014-09-16 08:34:24;;0
168;29/09/1960;Đợt bí tích ngày 29 tháng 09 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
169;04/09/1960;Đợt bí tích ngày 04 tháng 09 năm 1960;;0;Tân Sa Châu;2014-09-16 08:34:24;;0
170;14/10/1960;Đợt bí tích ngày 14 tháng 10 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
171;10/03/1960;Đợt bí tích ngày 10 tháng 03 năm 1960;Giuse Phạm Đức Sự Op;0;Ngọc Đồng;2014-09-16 08:34:24;;0
172;06/03/1960;Đợt bí tích ngày 06 tháng 03 năm 1960;Đam Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
173;21/01/1960;Đợt bí tích ngày 21 tháng 01 năm 1960;Đam Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
174;02/02/1961;Đợt bí tích ngày 02 tháng 02 năm 1961;Lm. Đaminh Phạm Hữu Tư;0;Gx Ngũ Phúc;2014-09-16 08:34:24;;0
175;01/11/1961;Đợt bí tích ngày 01 tháng 11 năm 1961;;0;Gx Tân Định, Tgp Sài Gòn;2014-09-16 08:34:24;;0
176;29/05/1961;Đợt bí tích ngày 29 tháng 05 năm 1961;Lm Phạm Quang Tự, O P;0;Gx Thánh Tâm, Hạt Hố Nai, Gp Xuân Lộc;2014-09-16 08:34:24;;0
177;1961;Đợt bí tích năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
178;24/12/1961;Đợt bí tích ngày 24 tháng 12 năm 1961;Gioakim Vũ Công Khanh;0;Nam Hưng;2014-09-16 08:34:24;;0
179;04/09/1961;Đợt bí tích ngày 04 tháng 09 năm 1961;;0;Chân Phúc Khang;2014-09-16 08:34:24;;0
180;03/1961;Đợt bí tích tháng 03 năm 1961;;0;Ngũ Phúc;2014-09-16 08:34:24;;0
181;24/09/1961;Đợt bí tích ngày 24 tháng 09 năm 1961;;0;Trung Nghĩa;2014-09-16 08:34:24;;0
182;1961;Đợt bí tích năm 1961;;0;Ngũ Phúc;2014-09-16 08:34:24;;0
183;16/01/1961;Đợt bí tích ngày 16 tháng 01 năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
184;10/06/1961;Đợt bí tích ngày 10 tháng 06 năm 1961;;0;Đànẵng;2014-09-16 08:34:24;;0
185;12/05/1961;Đợt bí tích ngày 12 tháng 05 năm 1961;;0;Gx Ngũ Phúc;2014-09-16 08:34:24;;0
186;07/02/1961;Đợt bí tích ngày 07 tháng 02 năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
187;07/12/1961;Đợt bí tích ngày 07 tháng 12 năm 1961;;0;Gx Long Khánh;2014-09-16 08:34:24;;0
188;16/10/1961;Đợt bí tích ngày 16 tháng 10 năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
189;17/06/1961;Đợt bí tích ngày 17 tháng 06 năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
190;15/03/1961;Đợt bí tích ngày 15 tháng 03 năm 1961;Mai Đức Cận;0;Tràng Giang;2014-09-16 08:34:24;;0
191;09/03/1961;Đợt bí tích ngày 09 tháng 03 năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
192;05/08/1961;Đợt bí tích ngày 05 tháng 08 năm 1961;Fx Đinh Quốc Thụy;0;Ngũ Phúc;2014-09-16 08:34:24;;0
193;15/03/1961;Đợt bí tích ngày 15 tháng 03 năm 1961;;0;Đà Lạt;2014-09-16 08:34:24;;0
194;11/09/1961;Đợt bí tích ngày 11 tháng 09 năm 1961;;0;;2014-09-16 08:34:24;;0
195;06/11/1962;Đợt bí tích ngày 06 tháng 11 năm 1962;;0;Biên Hòa;2014-09-16 08:34:24;;0
196;01/06/1962;Đợt bí tích ngày 01 tháng 06 năm 1962;;0;Gx Ngũ Phúc;2014-09-16 08:34:24;;0
197;26/07/1962;Đợt bí tích ngày 26 tháng 07 năm 1962;Gioakim Maria Vũ Ngọc Long;0;Nghĩa Hòa;2014-09-16 08:34:24;;0
198;04/06/1962;Đợt bí tích ngày 04 tháng 06 năm 1962;;0;Bình Dương;2014-09-16 08:34:24;;0
199;12/07/1962;Đợt bí tích ngày 12 tháng 07 năm 1962;Đaminh Đỗ Ngọc Bích;0;Ngọc Đồng;2014-09-16 08:34:24;;0
200;26/01/1962;Đợt bí tích ngày 26 tháng 01 năm 1962;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
201;07/06/1962;Đợt bí tích ngày 07 tháng 06 năm 1962;;0;;2014-09-16 08:34:24;;0
202;21/10/1962;Đợt bí tích ngày 21 tháng 10 năm 1962;Giuse Nguyễn Hữu Văn;0;Bình Lộc;2014-09-16 08:34:24;;0
203;02/01/1962;Đợt bí tích ngày 02 tháng 01 năm 1962;Fx. Đinh Quốc Thụy;0;Ngũ Phúc;2014-09-16 08:34:24;;0
